label,n_obs,n_counties,coef,se,pval
FL - Original,840,84,-2.3594979443595436,0.7299581143728857,0.001227660779791218
FL - Imputed,6042,608,-0.741789647163867,0.3676189876520516,0.04360981235655829
WA - Original,670,67,-1.1752346523483932,0.7184603044953556,0.10188807093554024
WA - Imputed,4186,427,-0.5275662023469478,0.3398565406387009,0.12058560635444351
